,Provincias,Ramas de actividad,Magnitud,periodo,Total
0,02 Albacete,TOTAL PERSONAS,Empleo total (miles de personas),2021,"150,2"
1,02 Albacete,TOTAL PERSONAS,Empleo total (miles de personas),2020,"147,1"
2,03 Alicante/Alacant,TOTAL PERSONAS,Empleo total (miles de personas),2021,"686,9"
3,03 Alicante/Alacant,TOTAL PERSONAS,Empleo total (miles de personas),2020,"666,3"
4,04 Almería,TOTAL PERSONAS,Empleo total (miles de personas),2021,"287,3"
5,04 Almería,TOTAL PERSONAS,Empleo total (miles de personas),2020,"278,1"
6,01 Araba/Álava,TOTAL PERSONAS,Empleo total (miles de personas),2021,"161,9"
7,01 Araba/Álava,TOTAL PERSONAS,Empleo total (miles de personas),2020,"157,4"
8,33 Asturias,TOTAL PERSONAS,Empleo total (miles de personas),2021,"387,0"
9,33 Asturias,TOTAL PERSONAS,Empleo total (miles de personas),2020,"380,0"
10,05 Ávila,TOTAL PERSONAS,Empleo total (miles de personas),2021,"59,2"
11,05 Ávila,TOTAL PERSONAS,Empleo total (miles de personas),2020,"59,0"
12,06 Badajoz,TOTAL PERSONAS,Empleo total (miles de personas),2021,"240,1"
13,06 Badajoz,TOTAL PERSONAS,Empleo total (miles de personas),2020,"234,3"
14,"07 Balears, Illes",TOTAL PERSONAS,Empleo total (miles de personas),2021,"493,1"
15,"07 Balears, Illes",TOTAL PERSONAS,Empleo total (miles de personas),2020,"486,8"
16,08 Barcelona,TOTAL PERSONAS,Empleo total (miles de personas),2021,"2695,2"
17,08 Barcelona,TOTAL PERSONAS,Empleo total (miles de personas),2020,"2641,1"
18,48 Bizkaia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"511,6"
19,48 Bizkaia,TOTAL PERSONAS,Empleo total (miles de personas),2020,"507,1"
20,09 Burgos,TOTAL PERSONAS,Empleo total (miles de personas),2021,"159,9"
21,09 Burgos,TOTAL PERSONAS,Empleo total (miles de personas),2020,"156,0"
22,10 Cáceres,TOTAL PERSONAS,Empleo total (miles de personas),2021,"139,2"
23,10 Cáceres,TOTAL PERSONAS,Empleo total (miles de personas),2020,"136,8"
24,11 Cádiz,TOTAL PERSONAS,Empleo total (miles de personas),2021,"405,2"
25,11 Cádiz,TOTAL PERSONAS,Empleo total (miles de personas),2020,"395,2"
26,39 Cantabria,TOTAL PERSONAS,Empleo total (miles de personas),2021,"227,2"
27,39 Cantabria,TOTAL PERSONAS,Empleo total (miles de personas),2020,"222,7"
28,12 Castellón/Castelló,TOTAL PERSONAS,Empleo total (miles de personas),2021,"250,7"
29,12 Castellón/Castelló,TOTAL PERSONAS,Empleo total (miles de personas),2020,"242,5"
30,13 Ciudad Real,TOTAL PERSONAS,Empleo total (miles de personas),2021,"184,9"
31,13 Ciudad Real,TOTAL PERSONAS,Empleo total (miles de personas),2020,"184,5"
32,14 Córdoba,TOTAL PERSONAS,Empleo total (miles de personas),2021,"275,8"
33,14 Córdoba,TOTAL PERSONAS,Empleo total (miles de personas),2020,"272,8"
34,"15 Coruña, A",TOTAL PERSONAS,Empleo total (miles de personas),2021,"457,4"
35,"15 Coruña, A",TOTAL PERSONAS,Empleo total (miles de personas),2020,"451,6"
36,16 Cuenca,TOTAL PERSONAS,Empleo total (miles de personas),2021,"80,8"
37,16 Cuenca,TOTAL PERSONAS,Empleo total (miles de personas),2020,"77,7"
38,20 Gipuzkoa,TOTAL PERSONAS,Empleo total (miles de personas),2021,"351,2"
39,20 Gipuzkoa,TOTAL PERSONAS,Empleo total (miles de personas),2020,"347,6"
40,17 Girona,TOTAL PERSONAS,Empleo total (miles de personas),2021,"334,4"
41,17 Girona,TOTAL PERSONAS,Empleo total (miles de personas),2020,"322,6"
42,18 Granada,TOTAL PERSONAS,Empleo total (miles de personas),2021,"322,3"
43,18 Granada,TOTAL PERSONAS,Empleo total (miles de personas),2020,"313,8"
44,19 Guadalajara,TOTAL PERSONAS,Empleo total (miles de personas),2021,"88,8"
45,19 Guadalajara,TOTAL PERSONAS,Empleo total (miles de personas),2020,"87,2"
46,21 Huelva,TOTAL PERSONAS,Empleo total (miles de personas),2021,"180,6"
47,21 Huelva,TOTAL PERSONAS,Empleo total (miles de personas),2020,"181,2"
48,22 Huesca,TOTAL PERSONAS,Empleo total (miles de personas),2021,"100,6"
49,22 Huesca,TOTAL PERSONAS,Empleo total (miles de personas),2020,"99,7"
50,23 Jaén,TOTAL PERSONAS,Empleo total (miles de personas),2021,"212,1"
51,23 Jaén,TOTAL PERSONAS,Empleo total (miles de personas),2020,"207,8"
52,24 León,TOTAL PERSONAS,Empleo total (miles de personas),2021,"168,3"
