,Provincias,Ramas de actividad,Magnitud,periodo,Total
0,02 Albacete,TOTAL PERSONAS,Empleo total (miles de personas),2021,"150,2"
1,02 Albacete,TOTAL PERSONAS,Empleo total (miles de personas),2019,"151,9"
2,03 Alicante/Alacant,TOTAL PERSONAS,Empleo total (miles de personas),2021,"686,9"
3,03 Alicante/Alacant,TOTAL PERSONAS,Empleo total (miles de personas),2019,"690,1"
4,04 Almería,TOTAL PERSONAS,Empleo total (miles de personas),2021,"287,3"
5,04 Almería,TOTAL PERSONAS,Empleo total (miles de personas),2019,"285,7"
6,01 Araba/Álava,TOTAL PERSONAS,Empleo total (miles de personas),2021,"161,9"
7,01 Araba/Álava,TOTAL PERSONAS,Empleo total (miles de personas),2019,"166,8"
8,33 Asturias,TOTAL PERSONAS,Empleo total (miles de personas),2021,"387,0"
9,33 Asturias,TOTAL PERSONAS,Empleo total (miles de personas),2019,"399,6"
10,05 Ávila,TOTAL PERSONAS,Empleo total (miles de personas),2021,"59,2"
11,05 Ávila,TOTAL PERSONAS,Empleo total (miles de personas),2019,"58,9"
12,06 Badajoz,TOTAL PERSONAS,Empleo total (miles de personas),2021,"240,1"
13,06 Badajoz,TOTAL PERSONAS,Empleo total (miles de personas),2019,"244,1"
14,"07 Balears, Illes",TOTAL PERSONAS,Empleo total (miles de personas),2021,"493,1"
15,"07 Balears, Illes",TOTAL PERSONAS,Empleo total (miles de personas),2019,"536,4"
16,08 Barcelona,TOTAL PERSONAS,Empleo total (miles de personas),2021,"2695,2"
17,08 Barcelona,TOTAL PERSONAS,Empleo total (miles de personas),2019,"2751,4"
18,48 Bizkaia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"511,6"
19,48 Bizkaia,TOTAL PERSONAS,Empleo total (miles de personas),2019,"530,1"
20,09 Burgos,TOTAL PERSONAS,Empleo total (miles de personas),2021,"159,9"
21,09 Burgos,TOTAL PERSONAS,Empleo total (miles de personas),2019,"163,4"
22,10 Cáceres,TOTAL PERSONAS,Empleo total (miles de personas),2021,"139,2"
23,10 Cáceres,TOTAL PERSONAS,Empleo total (miles de personas),2019,"141,5"
24,11 Cádiz,TOTAL PERSONAS,Empleo total (miles de personas),2021,"405,2"
25,11 Cádiz,TOTAL PERSONAS,Empleo total (miles de personas),2019,"412,2"
26,39 Cantabria,TOTAL PERSONAS,Empleo total (miles de personas),2021,"227,2"
27,39 Cantabria,TOTAL PERSONAS,Empleo total (miles de personas),2019,"232,4"
28,12 Castellón/Castelló,TOTAL PERSONAS,Empleo total (miles de personas),2021,"250,7"
29,12 Castellón/Castelló,TOTAL PERSONAS,Empleo total (miles de personas),2019,"255,4"
30,13 Ciudad Real,TOTAL PERSONAS,Empleo total (miles de personas),2021,"184,9"
31,13 Ciudad Real,TOTAL PERSONAS,Empleo total (miles de personas),2019,"184,3"
32,14 Córdoba,TOTAL PERSONAS,Empleo total (miles de personas),2021,"275,8"
33,14 Córdoba,TOTAL PERSONAS,Empleo total (miles de personas),2019,"283,0"
34,"15 Coruña, A",TOTAL PERSONAS,Empleo total (miles de personas),2021,"457,4"
35,"15 Coruña, A",TOTAL PERSONAS,Empleo total (miles de personas),2019,"468,8"
36,16 Cuenca,TOTAL PERSONAS,Empleo total (miles de personas),2021,"80,8"
37,16 Cuenca,TOTAL PERSONAS,Empleo total (miles de personas),2019,"76,3"
38,20 Gipuzkoa,TOTAL PERSONAS,Empleo total (miles de personas),2021,"351,2"
39,20 Gipuzkoa,TOTAL PERSONAS,Empleo total (miles de personas),2019,"357,6"
40,17 Girona,TOTAL PERSONAS,Empleo total (miles de personas),2021,"334,4"
41,17 Girona,TOTAL PERSONAS,Empleo total (miles de personas),2019,"338,2"
42,18 Granada,TOTAL PERSONAS,Empleo total (miles de personas),2021,"322,3"
43,18 Granada,TOTAL PERSONAS,Empleo total (miles de personas),2019,"330,4"
44,19 Guadalajara,TOTAL PERSONAS,Empleo total (miles de personas),2021,"88,8"
45,19 Guadalajara,TOTAL PERSONAS,Empleo total (miles de personas),2019,"89,3"
46,21 Huelva,TOTAL PERSONAS,Empleo total (miles de personas),2021,"180,6"
47,21 Huelva,TOTAL PERSONAS,Empleo total (miles de personas),2019,"185,9"
48,22 Huesca,TOTAL PERSONAS,Empleo total (miles de personas),2021,"100,6"
49,22 Huesca,TOTAL PERSONAS,Empleo total (miles de personas),2019,"101,8"
50,23 Jaén,TOTAL PERSONAS,Empleo total (miles de personas),2021,"212,1"
51,23 Jaén,TOTAL PERSONAS,Empleo total (miles de personas),2019,"214,9"
52,24 León,TOTAL PERSONAS,Empleo total (miles de personas),2021,"168,3"
53,24 León,TOTAL PERSONAS,Empleo total (miles de personas),2019,"170,0"
54,25 Lleida,TOTAL PERSONAS,Empleo total (miles de personas),2021,"207,9"
55,25 Lleida,TOTAL PERSONAS,Empleo total (miles de personas),2019,"204,3"
56,27 Lugo,TOTAL PERSONAS,Empleo total (miles de personas),2021,"128,2"
57,27 Lugo,TOTAL PERSONAS,Empleo total (miles de personas),2019,"133,3"
58,28 Madrid,TOTAL PERSONAS,Empleo total (miles de personas),2021,"3514,4"
59,28 Madrid,TOTAL PERSONAS,Empleo total (miles de personas),2019,"3531,6"
60,29 Málaga,TOTAL PERSONAS,Empleo total (miles de personas),2021,"615,8"
61,29 Málaga,TOTAL PERSONAS,Empleo total (miles de personas),2019,"627,9"
62,30 Murcia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"620,8"
63,30 Murcia,TOTAL PERSONAS,Empleo total (miles de personas),2019,"630,2"
64,31 Navarra,TOTAL PERSONAS,Empleo total (miles de personas),2021,"302,7"
65,31 Navarra,TOTAL PERSONAS,Empleo total (miles de personas),2019,"315,5"
66,32 Ourense,TOTAL PERSONAS,Empleo total (miles de personas),2021,"110,8"
67,32 Ourense,TOTAL PERSONAS,Empleo total (miles de personas),2019,"113,5"
68,34 Palencia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"65,7"
69,34 Palencia,TOTAL PERSONAS,Empleo total (miles de personas),2019,"69,2"
70,"35 Palmas, Las",TOTAL PERSONAS,Empleo total (miles de personas),2021,"422,2"
71,"35 Palmas, Las",TOTAL PERSONAS,Empleo total (miles de personas),2019,"440,5"
72,36 Pontevedra,TOTAL PERSONAS,Empleo total (miles de personas),2021,"371,7"
