,Provincias,Ramas de actividad,periodo,Total
0,02 Albacete,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,8663814
1,02 Albacete,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,8171130
2,03 Alicante/Alacant,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,37279735
3,03 Alicante/Alacant,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,35995303
4,04 Almería,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,15659622
5,04 Almería,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,15173666
6,01 Araba/Álava,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12939983
7,01 Araba/Álava,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,12740333
8,33 Asturias,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,23549659
9,33 Asturias,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,23225369
10,05 Ávila,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,3300110
11,05 Ávila,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,3217007
12,06 Badajoz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12723211
13,06 Badajoz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,12331184
14,"07 Balears, Illes",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,30031668
15,"07 Balears, Illes",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,32740793
16,08 Barcelona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,173721885
17,08 Barcelona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,171924804
18,48 Bizkaia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,35446900
19,48 Bizkaia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,35582278
20,09 Burgos,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10276704
21,09 Burgos,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,10479188
22,10 Cáceres,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,7926526
