,Provincias,Edad (3 grupos de edad),Españoles/Extranjeros,Sexo,Año,Total
0,TOTAL ESPAÑA,TOTAL EDADES,TOTAL,Ambos sexos,2022,47475420
1,TOTAL ESPAÑA,TOTAL EDADES,TOTAL,Ambos sexos,2021,47385107
2,02 Albacete,TOTAL EDADES,TOTAL,Ambos sexos,2022,385727
3,02 Albacete,TOTAL EDADES,TOTAL,Ambos sexos,2021,386464
4,03 Alicante/Alacant,TOTAL EDADES,TOTAL,Ambos sexos,2022,1901594
5,03 Alicante/Alacant,TOTAL EDADES,TOTAL,Ambos sexos,2021,1881762
6,04 Almería,TOTAL EDADES,TOTAL,Ambos sexos,2022,740534
7,04 Almería,TOTAL EDADES,TOTAL,Ambos sexos,2021,731792
8,01 Araba/Álava,TOTAL EDADES,TOTAL,Ambos sexos,2022,334412
9,01 Araba/Álava,TOTAL EDADES,TOTAL,Ambos sexos,2021,333626
10,33 Asturias,TOTAL EDADES,TOTAL,Ambos sexos,2022,1004686
11,33 Asturias,TOTAL EDADES,TOTAL,Ambos sexos,2021,1011792
12,05 Ávila,TOTAL EDADES,TOTAL,Ambos sexos,2022,158140
13,05 Ávila,TOTAL EDADES,TOTAL,Ambos sexos,2021,158421
14,06 Badajoz,TOTAL EDADES,TOTAL,Ambos sexos,2022,666971
15,06 Badajoz,TOTAL EDADES,TOTAL,Ambos sexos,2021,669943
16,"07 Balears, Illes",TOTAL EDADES,TOTAL,Ambos sexos,2022,1176659
17,"07 Balears, Illes",TOTAL EDADES,TOTAL,Ambos sexos,2021,1173008
18,08 Barcelona,TOTAL EDADES,TOTAL,Ambos sexos,2022,5727615
19,08 Barcelona,TOTAL EDADES,TOTAL,Ambos sexos,2021,5714730
20,48 Bizkaia,TOTAL EDADES,TOTAL,Ambos sexos,2022,1149344
21,48 Bizkaia,TOTAL EDADES,TOTAL,Ambos sexos,2021,1154334
22,09 Burgos,TOTAL EDADES,TOTAL,Ambos sexos,2022,355045
23,09 Burgos,TOTAL EDADES,TOTAL,Ambos sexos,2021,356055
24,10 Cáceres,TOTAL EDADES,TOTAL,Ambos sexos,2022,387805
25,10 Cáceres,TOTAL EDADES,TOTAL,Ambos sexos,2021,389558
26,11 Cádiz,TOTAL EDADES,TOTAL,Ambos sexos,2022,1246781
27,11 Cádiz,TOTAL EDADES,TOTAL,Ambos sexos,2021,1245960
28,39 Cantabria,TOTAL EDADES,TOTAL,Ambos sexos,2022,585402
29,39 Cantabria,TOTAL EDADES,TOTAL,Ambos sexos,2021,584507
30,12 Castellón/Castelló,TOTAL EDADES,TOTAL,Ambos sexos,2022,590616
31,12 Castellón/Castelló,TOTAL EDADES,TOTAL,Ambos sexos,2021,587064
32,13 Ciudad Real,TOTAL EDADES,TOTAL,Ambos sexos,2022,490806
33,13 Ciudad Real,TOTAL EDADES,TOTAL,Ambos sexos,2021,492591
34,14 Córdoba,TOTAL EDADES,TOTAL,Ambos sexos,2022,772464
35,14 Córdoba,TOTAL EDADES,TOTAL,Ambos sexos,2021,776789
36,"15 Coruña, A",TOTAL EDADES,TOTAL,Ambos sexos,2022,1119180
37,"15 Coruña, A",TOTAL EDADES,TOTAL,Ambos sexos,2021,1120134
38,16 Cuenca,TOTAL EDADES,TOTAL,Ambos sexos,2022,195215
39,16 Cuenca,TOTAL EDADES,TOTAL,Ambos sexos,2021,195516
40,20 Gipuzkoa,TOTAL EDADES,TOTAL,Ambos sexos,2022,724418
41,20 Gipuzkoa,TOTAL EDADES,TOTAL,Ambos sexos,2021,726033
42,17 Girona,TOTAL EDADES,TOTAL,Ambos sexos,2022,793478
43,17 Girona,TOTAL EDADES,TOTAL,Ambos sexos,2021,786596
44,18 Granada,TOTAL EDADES,TOTAL,Ambos sexos,2022,921987
45,18 Granada,TOTAL EDADES,TOTAL,Ambos sexos,2021,921338
46,19 Guadalajara,TOTAL EDADES,TOTAL,Ambos sexos,2022,268127
47,19 Guadalajara,TOTAL EDADES,TOTAL,Ambos sexos,2021,265588
48,21 Huelva,TOTAL EDADES,TOTAL,Ambos sexos,2022,528763
49,21 Huelva,TOTAL EDADES,TOTAL,Ambos sexos,2021,525835
50,22 Huesca,TOTAL EDADES,TOTAL,Ambos sexos,2022,225456
51,22 Huesca,TOTAL EDADES,TOTAL,Ambos sexos,2021,224264
52,23 Jaén,TOTAL EDADES,TOTAL,Ambos sexos,2022,623761
53,23 Jaén,TOTAL EDADES,TOTAL,Ambos sexos,2021,627190
54,24 León,TOTAL EDADES,TOTAL,Ambos sexos,2022,448179
55,24 León,TOTAL EDADES,TOTAL,Ambos sexos,2021,451706
56,25 Lleida,TOTAL EDADES,TOTAL,Ambos sexos,2022,441443
57,25 Lleida,TOTAL EDADES,TOTAL,Ambos sexos,2021,439727
58,27 Lugo,TOTAL EDADES,TOTAL,Ambos sexos,2022,323989
59,27 Lugo,TOTAL EDADES,TOTAL,Ambos sexos,2021,326013
60,28 Madrid,TOTAL EDADES,TOTAL,Ambos sexos,2022,6750336
61,28 Madrid,TOTAL EDADES,TOTAL,Ambos sexos,2021,6751251
62,29 Málaga,TOTAL EDADES,TOTAL,Ambos sexos,2022,1717504
63,29 Málaga,TOTAL EDADES,TOTAL,Ambos sexos,2021,1695651
64,30 Murcia,TOTAL EDADES,TOTAL,Ambos sexos,2022,1531878
65,30 Murcia,TOTAL EDADES,TOTAL,Ambos sexos,2021,1518486
66,31 Navarra,TOTAL EDADES,TOTAL,Ambos sexos,2022,664117
67,31 Navarra,TOTAL EDADES,TOTAL,Ambos sexos,2021,661537
68,32 Ourense,TOTAL EDADES,TOTAL,Ambos sexos,2022,304280
69,32 Ourense,TOTAL EDADES,TOTAL,Ambos sexos,2021,305223
70,34 Palencia,TOTAL EDADES,TOTAL,Ambos sexos,2022,158008
71,34 Palencia,TOTAL EDADES,TOTAL,Ambos sexos,2021,159123
72,"35 Palmas, Las",TOTAL EDADES,TOTAL,Ambos sexos,2022,1129395
73,"35 Palmas, Las",TOTAL EDADES,TOTAL,Ambos sexos,2021,1128539
74,36 Pontevedra,TOTAL EDADES,TOTAL,Ambos sexos,2022,943015
75,36 Pontevedra,TOTAL EDADES,TOTAL,Ambos sexos,2021,944275
76,"26 Rioja, La",TOTAL EDADES,TOTAL,Ambos sexos,2022,319892
77,"26 Rioja, La",TOTAL EDADES,TOTAL,Ambos sexos,2021,319796
78,37 Salamanca,TOTAL EDADES,TOTAL,Ambos sexos,2022,325898
79,37 Salamanca,TOTAL EDADES,TOTAL,Ambos sexos,2021,327338
80,38 Santa Cruz de Tenerife,TOTAL EDADES,TOTAL,Ambos sexos,2022,1048306
81,38 Santa Cruz de Tenerife,TOTAL EDADES,TOTAL,Ambos sexos,2021,1044405
82,40 Segovia,TOTAL EDADES,TOTAL,Ambos sexos,2022,153803
83,40 Segovia,TOTAL EDADES,TOTAL,Ambos sexos,2021,153663
84,41 Sevilla,TOTAL EDADES,TOTAL,Ambos sexos,2022,1948393
85,41 Sevilla,TOTAL EDADES,TOTAL,Ambos sexos,2021,1947852
86,42 Soria,TOTAL EDADES,TOTAL,Ambos sexos,2022,88377
87,42 Soria,TOTAL EDADES,TOTAL,Ambos sexos,2021,88747
88,43 Tarragona,TOTAL EDADES,TOTAL,Ambos sexos,2022,830075
89,43 Tarragona,TOTAL EDADES,TOTAL,Ambos sexos,2021,822309
90,44 Teruel,TOTAL EDADES,TOTAL,Ambos sexos,2022,134421
91,44 Teruel,TOTAL EDADES,TOTAL,Ambos sexos,2021,134545
92,45 Toledo,TOTAL EDADES,TOTAL,Ambos sexos,2022,713453
93,45 Toledo,TOTAL EDADES,TOTAL,Ambos sexos,2021,709403
94,46 Valencia/València,TOTAL EDADES,TOTAL,Ambos sexos,2022,2605757
95,46 Valencia/València,TOTAL EDADES,TOTAL,Ambos sexos,2021,2589312
96,47 Valladolid,TOTAL EDADES,TOTAL,Ambos sexos,2022,517975
97,47 Valladolid,TOTAL EDADES,TOTAL,Ambos sexos,2021,519361
98,49 Zamora,TOTAL EDADES,TOTAL,Ambos sexos,2022,167215
99,49 Zamora,TOTAL EDADES,TOTAL,Ambos sexos,2021,168725
100,50 Zaragoza,TOTAL EDADES,TOTAL,Ambos sexos,2022,966438
101,50 Zaragoza,TOTAL EDADES,TOTAL,Ambos sexos,2021,967452
102,51 Ceuta,TOTAL EDADES,TOTAL,Ambos sexos,2022,83117
103,51 Ceuta,TOTAL EDADES,TOTAL,Ambos sexos,2021,83517
104,52 Melilla,TOTAL EDADES,TOTAL,Ambos sexos,2022,85170
105,52 Melilla,TOTAL EDADES,TOTAL,Ambos sexos,2021,86261
106,TOTAL ESPAÑA,TOTAL EDADES,TOTAL,Ambos sexos,2022,47475420
107,TOTAL ESPAÑA,TOTAL EDADES,TOTAL,Ambos sexos,2020,47450795
108,02 Albacete,TOTAL EDADES,TOTAL,Ambos sexos,2022,385727
109,02 Albacete,TOTAL EDADES,TOTAL,Ambos sexos,2020,388270
110,03 Alicante/Alacant,TOTAL EDADES,TOTAL,Ambos sexos,2022,1901594
111,03 Alicante/Alacant,TOTAL EDADES,TOTAL,Ambos sexos,2020,1879888
112,04 Almería,TOTAL EDADES,TOTAL,Ambos sexos,2022,740534
113,04 Almería,TOTAL EDADES,TOTAL,Ambos sexos,2020,727945
114,01 Araba/Álava,TOTAL EDADES,TOTAL,Ambos sexos,2022,334412
115,01 Araba/Álava,TOTAL EDADES,TOTAL,Ambos sexos,2020,333940
116,33 Asturias,TOTAL EDADES,TOTAL,Ambos sexos,2022,1004686
117,33 Asturias,TOTAL EDADES,TOTAL,Ambos sexos,2020,1018784
