,Provincias,Edad (3 grupos de edad),Españoles/Extranjeros,Sexo,Año,Total
0,TOTAL ESPAÑA,TOTAL EDADES,TOTAL,Ambos sexos,2022,47475420
1,TOTAL ESPAÑA,TOTAL EDADES,TOTAL,Ambos sexos,2020,47450795
2,02 Albacete,TOTAL EDADES,TOTAL,Ambos sexos,2022,385727
3,02 Albacete,TOTAL EDADES,TOTAL,Ambos sexos,2020,388270
4,03 Alicante/Alacant,TOTAL EDADES,TOTAL,Ambos sexos,2022,1901594
5,03 Alicante/Alacant,TOTAL EDADES,TOTAL,Ambos sexos,2020,1879888
6,04 Almería,TOTAL EDADES,TOTAL,Ambos sexos,2022,740534
7,04 Almería,TOTAL EDADES,TOTAL,Ambos sexos,2020,727945
8,01 Araba/Álava,TOTAL EDADES,TOTAL,Ambos sexos,2022,334412
9,01 Araba/Álava,TOTAL EDADES,TOTAL,Ambos sexos,2020,333940
10,33 Asturias,TOTAL EDADES,TOTAL,Ambos sexos,2022,1004686
11,33 Asturias,TOTAL EDADES,TOTAL,Ambos sexos,2020,1018784
12,05 Ávila,TOTAL EDADES,TOTAL,Ambos sexos,2022,158140
13,05 Ávila,TOTAL EDADES,TOTAL,Ambos sexos,2020,157664
14,06 Badajoz,TOTAL EDADES,TOTAL,Ambos sexos,2022,666971
15,06 Badajoz,TOTAL EDADES,TOTAL,Ambos sexos,2020,672137
16,"07 Balears, Illes",TOTAL EDADES,TOTAL,Ambos sexos,2022,1176659
17,"07 Balears, Illes",TOTAL EDADES,TOTAL,Ambos sexos,2020,1171543
18,08 Barcelona,TOTAL EDADES,TOTAL,Ambos sexos,2022,5727615
19,08 Barcelona,TOTAL EDADES,TOTAL,Ambos sexos,2020,5743402
20,48 Bizkaia,TOTAL EDADES,TOTAL,Ambos sexos,2022,1149344
21,48 Bizkaia,TOTAL EDADES,TOTAL,Ambos sexos,2020,1159443
22,09 Burgos,TOTAL EDADES,TOTAL,Ambos sexos,2022,355045
23,09 Burgos,TOTAL EDADES,TOTAL,Ambos sexos,2020,357650
24,10 Cáceres,TOTAL EDADES,TOTAL,Ambos sexos,2022,387805
25,10 Cáceres,TOTAL EDADES,TOTAL,Ambos sexos,2020,391850
26,11 Cádiz,TOTAL EDADES,TOTAL,Ambos sexos,2022,1246781
27,11 Cádiz,TOTAL EDADES,TOTAL,Ambos sexos,2020,1244049
28,39 Cantabria,TOTAL EDADES,TOTAL,Ambos sexos,2022,585402
29,39 Cantabria,TOTAL EDADES,TOTAL,Ambos sexos,2020,582905
30,12 Castellón/Castelló,TOTAL EDADES,TOTAL,Ambos sexos,2022,590616
31,12 Castellón/Castelló,TOTAL EDADES,TOTAL,Ambos sexos,2020,585590
32,13 Ciudad Real,TOTAL EDADES,TOTAL,Ambos sexos,2022,490806
33,13 Ciudad Real,TOTAL EDADES,TOTAL,Ambos sexos,2020,495045
34,14 Córdoba,TOTAL EDADES,TOTAL,Ambos sexos,2022,772464
35,14 Córdoba,TOTAL EDADES,TOTAL,Ambos sexos,2020,781451
36,"15 Coruña, A",TOTAL EDADES,TOTAL,Ambos sexos,2022,1119180
37,"15 Coruña, A",TOTAL EDADES,TOTAL,Ambos sexos,2020,1121815
38,16 Cuenca,TOTAL EDADES,TOTAL,Ambos sexos,2022,195215
39,16 Cuenca,TOTAL EDADES,TOTAL,Ambos sexos,2020,196139
40,20 Gipuzkoa,TOTAL EDADES,TOTAL,Ambos sexos,2022,724418
41,20 Gipuzkoa,TOTAL EDADES,TOTAL,Ambos sexos,2020,727121
42,17 Girona,TOTAL EDADES,TOTAL,Ambos sexos,2022,793478
43,17 Girona,TOTAL EDADES,TOTAL,Ambos sexos,2020,781788
44,18 Granada,TOTAL EDADES,TOTAL,Ambos sexos,2022,921987
45,18 Granada,TOTAL EDADES,TOTAL,Ambos sexos,2020,919168
46,19 Guadalajara,TOTAL EDADES,TOTAL,Ambos sexos,2022,268127
47,19 Guadalajara,TOTAL EDADES,TOTAL,Ambos sexos,2020,261995
48,21 Huelva,TOTAL EDADES,TOTAL,Ambos sexos,2022,528763
49,21 Huelva,TOTAL EDADES,TOTAL,Ambos sexos,2020,524278
50,22 Huesca,TOTAL EDADES,TOTAL,Ambos sexos,2022,225456
51,22 Huesca,TOTAL EDADES,TOTAL,Ambos sexos,2020,222687
52,23 Jaén,TOTAL EDADES,TOTAL,Ambos sexos,2022,623761
53,23 Jaén,TOTAL EDADES,TOTAL,Ambos sexos,2020,631381
54,24 León,TOTAL EDADES,TOTAL,Ambos sexos,2022,448179
55,24 León,TOTAL EDADES,TOTAL,Ambos sexos,2020,456439
56,25 Lleida,TOTAL EDADES,TOTAL,Ambos sexos,2022,441443
57,25 Lleida,TOTAL EDADES,TOTAL,Ambos sexos,2020,438517
58,27 Lugo,TOTAL EDADES,TOTAL,Ambos sexos,2022,323989
59,27 Lugo,TOTAL EDADES,TOTAL,Ambos sexos,2020,327946
60,28 Madrid,TOTAL EDADES,TOTAL,Ambos sexos,2022,6750336
61,28 Madrid,TOTAL EDADES,TOTAL,Ambos sexos,2020,6779888
62,29 Málaga,TOTAL EDADES,TOTAL,Ambos sexos,2022,1717504
63,29 Málaga,TOTAL EDADES,TOTAL,Ambos sexos,2020,1685920
64,30 Murcia,TOTAL EDADES,TOTAL,Ambos sexos,2022,1531878
65,30 Murcia,TOTAL EDADES,TOTAL,Ambos sexos,2020,1511251
66,31 Navarra,TOTAL EDADES,TOTAL,Ambos sexos,2022,664117
67,31 Navarra,TOTAL EDADES,TOTAL,Ambos sexos,2020,661197
68,32 Ourense,TOTAL EDADES,TOTAL,Ambos sexos,2022,304280
69,32 Ourense,TOTAL EDADES,TOTAL,Ambos sexos,2020,306650
70,34 Palencia,TOTAL EDADES,TOTAL,Ambos sexos,2022,158008
71,34 Palencia,TOTAL EDADES,TOTAL,Ambos sexos,2020,160321
72,"35 Palmas, Las",TOTAL EDADES,TOTAL,Ambos sexos,2022,1129395
73,"35 Palmas, Las",TOTAL EDADES,TOTAL,Ambos sexos,2020,1131065
74,36 Pontevedra,TOTAL EDADES,TOTAL,Ambos sexos,2022,943015
75,36 Pontevedra,TOTAL EDADES,TOTAL,Ambos sexos,2020,945408
76,"26 Rioja, La",TOTAL EDADES,TOTAL,Ambos sexos,2022,319892
77,"26 Rioja, La",TOTAL EDADES,TOTAL,Ambos sexos,2020,319914
78,37 Salamanca,TOTAL EDADES,TOTAL,Ambos sexos,2022,325898
79,37 Salamanca,TOTAL EDADES,TOTAL,Ambos sexos,2020,329245
80,38 Santa Cruz de Tenerife,TOTAL EDADES,TOTAL,Ambos sexos,2022,1048306
81,38 Santa Cruz de Tenerife,TOTAL EDADES,TOTAL,Ambos sexos,2020,1044887
82,40 Segovia,TOTAL EDADES,TOTAL,Ambos sexos,2022,153803
83,40 Segovia,TOTAL EDADES,TOTAL,Ambos sexos,2020,153478
84,41 Sevilla,TOTAL EDADES,TOTAL,Ambos sexos,2022,1948393
85,41 Sevilla,TOTAL EDADES,TOTAL,Ambos sexos,2020,1950219
86,42 Soria,TOTAL EDADES,TOTAL,Ambos sexos,2022,88377
87,42 Soria,TOTAL EDADES,TOTAL,Ambos sexos,2020,88884
88,43 Tarragona,TOTAL EDADES,TOTAL,Ambos sexos,2022,830075
89,43 Tarragona,TOTAL EDADES,TOTAL,Ambos sexos,2020,816772
90,44 Teruel,TOTAL EDADES,TOTAL,Ambos sexos,2022,134421
91,44 Teruel,TOTAL EDADES,TOTAL,Ambos sexos,2020,134176
92,45 Toledo,TOTAL EDADES,TOTAL,Ambos sexos,2022,713453
93,45 Toledo,TOTAL EDADES,TOTAL,Ambos sexos,2020,703772
94,46 Valencia/València,TOTAL EDADES,TOTAL,Ambos sexos,2022,2605757
95,46 Valencia/València,TOTAL EDADES,TOTAL,Ambos sexos,2020,2591875
96,47 Valladolid,TOTAL EDADES,TOTAL,Ambos sexos,2022,517975
97,47 Valladolid,TOTAL EDADES,TOTAL,Ambos sexos,2020,520649
98,49 Zamora,TOTAL EDADES,TOTAL,Ambos sexos,2022,167215
99,49 Zamora,TOTAL EDADES,TOTAL,Ambos sexos,2020,170588
100,50 Zaragoza,TOTAL EDADES,TOTAL,Ambos sexos,2022,966438
101,50 Zaragoza,TOTAL EDADES,TOTAL,Ambos sexos,2020,972528
102,51 Ceuta,TOTAL EDADES,TOTAL,Ambos sexos,2022,83117
103,51 Ceuta,TOTAL EDADES,TOTAL,Ambos sexos,2020,84202
104,52 Melilla,TOTAL EDADES,TOTAL,Ambos sexos,2022,85170
105,52 Melilla,TOTAL EDADES,TOTAL,Ambos sexos,2020,87076
